,worldwide_gross_income_currency,worldwide_gross_income,usa_gross_income_currency,usa_gross_income,budget_currency,budget
267,USD,2343 ,USD,2343 ,,
268,USD,2357 ,USD,2357 ,,
269,USD,2359 ,USD,2359 ,,
270,USD,62716 ,USD,2367 ,,
271,USD,2368 ,USD,2368 ,,
272,USD,763742 ,USD,2370 ,,
273,USD,2372 ,USD,2372 ,,
274,USD,1008116 ,USD,2377 ,USD,11000000 
275,USD,2404 ,USD,2404 ,,
276,USD,2418 ,USD,2418 ,,
277,USD,2421 ,USD,2421 ,USD,10000 
278,USD,83440 ,USD,2431 ,,
279,USD,2432 ,USD,2432 ,,
280,USD,2436 ,USD,2436 ,USD,2000000 
281,,,USD,2442 ,,
282,,,USD,2457 ,,
283,USD,2462 ,USD,2462 ,USD,3000000 
284,USD,3302463 ,USD,2463 ,,
285,USD,7697073 ,USD,2465 ,EUR,1000000
286,USD,2471 ,USD,2471 ,,
287,USD,2480 ,USD,2480 ,,
288,USD,1855647 ,USD,2488 ,,
289,USD,2502 ,USD,2502 ,,
290,USD,2509 ,USD,2509 ,USD,2500000 
291,USD,15220 ,USD,2521 ,USD,12000000 
292,USD,248749 ,USD,2528 ,,
293,USD,2537 ,USD,2537 ,,
294,USD,2540 ,USD,2540 ,,
295,USD,2543 ,USD,2543 ,,
296,USD,2544 ,USD,2544 ,,
297,,,USD,2550 ,,
298,USD,2554 ,USD,2554 ,USD,5000000 
299,,,USD,2554 ,,
300,USD,26011 ,USD,2560 ,USD,10000000 
301,USD,2562 ,USD,2562 ,,
302,,,USD,2567 ,,
303,USD,2571 ,USD,2571 ,,
304,USD,2572 ,USD,2572 ,,
305,USD,60752 ,USD,2578 ,,
306,USD,2583 ,USD,2583 ,,
307,USD,2591 ,USD,2591 ,,
308,USD,2592 ,USD,2592 ,,
309,USD,2592 ,USD,2592 ,,
310,USD,2598 ,USD,2598 ,USD,3000000 
311,USD,2602 ,USD,2602 ,,
312,USD,2609 ,USD,2609 ,,
313,USD,957744 ,USD,2616 ,,
314,USD,47527 ,USD,2618 ,USD,6000000 
315,USD,5980 ,USD,2630 ,,
316,USD,2631 ,USD,2631 ,,
317,USD,2634 ,USD,2634 ,,
318,USD,271735 ,USD,2638 ,MXN,12000000
319,USD,2640 ,USD,2640 ,,
320,USD,170922 ,USD,2651 ,,
321,USD,9318 ,USD,2659 ,,
322,USD,2664 ,USD,2664 ,,
323,,,USD,2670 ,,
324,USD,2684 ,USD,2684 ,,
325,USD,2685 ,USD,2685 ,,
326,USD,2695 ,USD,2695 ,USD,5500000 
327,USD,2706 ,USD,2706 ,USD,8000000 
328,,,USD,2708 ,,
329,,,USD,2710 ,,
330,USD,2710 ,USD,2710 ,,
331,USD,1517732 ,USD,2731 ,,
332,USD,2732 ,USD,2732 ,,
333,USD,388465 ,USD,2734 ,,
334,USD,2735 ,USD,2735 ,,
335,USD,64563 ,USD,2739 ,,
336,USD,488327 ,USD,2749 ,,
337,USD,82409 ,USD,2756 ,,
338,USD,457346 ,USD,2760 ,,
339,USD,2762 ,USD,2762 ,,
340,USD,2763 ,USD,2763 ,,
341,USD,2795 ,USD,2795 ,USD,1000000 
342,USD,2797 ,USD,2797 ,,
343,USD,2804 ,USD,2804 ,USD,2000000 
344,USD,2838 ,USD,2838 ,,
345,USD,2841 ,USD,2841 ,USD,3500000 
346,USD,31290 ,USD,2844 ,,
347,USD,1995045 ,USD,2848 ,EUR,6000000
348,USD,4998560 ,USD,2863 ,,
349,USD,2892 ,USD,2892 ,,
350,USD,2900 ,USD,2900 ,,
351,USD,91149 ,USD,2915 ,,
352,USD,57442 ,USD,2942 ,,
353,USD,933352 ,USD,2959 ,,
354,USD,157796 ,USD,2961 ,,
355,USD,8741 ,USD,2963 ,USD,100000 
356,USD,2967 ,USD,2967 ,USD,52000 
357,USD,473528 ,USD,2968 ,USD,3000000 
358,USD,2968 ,USD,2968 ,USD,500000 
359,USD,2970 ,USD,2970 ,USD,5000000 
360,USD,3000 ,USD,3000 ,,
361,USD,3000 ,USD,3000 ,,
362,USD,8315 ,USD,3003 ,USD,2500000 
363,USD,921752 ,USD,3010 ,USD,3000000 
364,USD,3013 ,USD,3013 ,,
365,USD,6006729 ,USD,3021 ,,
366,USD,3025 ,USD,3025 ,EUR,2000000
367,USD,31516 ,USD,3027 ,,
368,USD,118451 ,USD,3040 ,GBP,1000000
369,USD,1807686 ,USD,3052 ,,
370,USD,3061 ,USD,3061 ,,
371,USD,3072 ,USD,3072 ,USD,600000 
372,USD,28864 ,USD,3080 ,,
373,USD,3088 ,USD,3088 ,,
374,USD,3102 ,USD,3102 ,,
375,USD,3105 ,USD,3105 ,USD,250000 
376,USD,805283 ,USD,3119 ,AUD,4000000
377,USD,3121 ,USD,3121 ,,
378,USD,3124 ,USD,3124 ,USD,8000000 
379,USD,3126 ,USD,3126 ,USD,1000000 
380,USD,3135 ,USD,3135 ,,
381,USD,37781 ,USD,3139 ,EUR,3000000
382,USD,3140 ,USD,3140 ,,
383,USD,3242445 ,USD,3144 ,,
384,USD,3146 ,USD,3146 ,,
385,USD,3161 ,USD,3161 ,,
386,,,USD,3169 ,,
387,USD,2223529 ,USD,3176 ,,
388,USD,3179 ,USD,3179 ,,
