,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
2847,81032669,TV Show,Monty Don's French Gardens,26,7,2019,1,Season,TV-G,Rachel Bell,,United Kingdom,2019-07-26,"British TV Shows, Docuseries, International TV Shows","TV personality Monty Don visits France’s most famous gardens to dig up the influence of power, culture and passion on their conceptions and designs."
2848,81032659,TV Show,Monty Don's Italian Gardens,26,7,2019,1,Season,TV-G,,Monty Don,United Kingdom,2019-07-26,"British TV Shows, Docuseries, International TV Shows","From horticultural hideaways to luxurious botanical displays, TV personality Monty Don explores the history behind Italy’s most extraordinary gardens."
2862,80236236,TV Show,Another Life,25,7,2019,1,Season,TV-MA,,"Katee Sackhoff, Justin Chatwin, Samuel Anderson, Blu Hunt, AJ Rivera, Jake Abel, Alex Ozerov, Alexander Eling, Lina Renna, Selma Blair",United States,2019-07-25,"TV Action & Adventure, TV Dramas, TV Mysteries","After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact."
2880,81128790,TV Show,Eurovision Song Contest,23,7,2019,1,Season,TV-PG,,"Bar Refaeli, Erez Tal, Assi Azar, Lucy Ayoub",,2019-07-23,International TV Shows,Singers from all over Europe represent their countries in an international showdown and vie for superstar glory.
2884,80217743,TV Show,My Hotter Half,22,7,2019,1,Season,TV-14,,Melvin Odoom,United Kingdom,2019-07-22,"British TV Shows, International TV Shows, Reality TV","Couples compete to see who can take the sexiest selfie, with the loser getting a much-needed makeover."
2885,80233419,TV Show,Storage Wars: Northern Treasures,22,7,2019,1,Season,TV-MA,,"Ursula Stolf, Paul Kenny, Bogart Kenny, Roy Dirnbeck, Don Reinhart, Rick Coffill, Cindy Hayden",United States,2019-07-22,"International TV Shows, Reality TV","In Canada, a colorful collection of treasure-seeking scavengers bid on the largely unknown contents of repossessed and abandoned storage units."
2902,81144516,TV Show,Sexy Central,20,7,2019,1,Season,TV-MA,,"Jeana Ho Pui-yu, Joyce Cheng, Ava Liu, Shiga Lin, Kelly Chen Jia-li, Eric Suen Yiu-wai, Eric Kwok, Mix, Adam Pak, Patrick Tang",,2019-07-20,"International TV Shows, Romantic TV Shows, TV Dramas","In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart."
2903,80184067,TV Show,Amazing Interiors,20,7,2018,1,Season,TV-PG,,,United Kingdom,2018-07-20,"British TV Shows, International TV Shows, Reality TV","Meet eccentric homeowners whose seemingly ordinary spaces are full of surprises, from a backyard roller coaster to an indoor aquarium."
2904,80189791,TV Show,Dark Tourist,20,7,2018,1,Season,TV-MA,,,New Zealand,2018-07-20,"Docuseries, International TV Shows","From a nuclear lake to a haunted forest, journalist David Farrier visits unusual – and often macabre – tourism spots around the world."
2907,80138672,TV Show,Jimmy: The True Story of a True Idiot,20,7,2018,1,Season,TV-MA,,"Akiyoshi Nakao, Tetsuji Tamayama, Hiroyuki Onoue, Shinji Rokkaku, Ikuji Nakamura, Yasuhi Nakamura, Mari Hamada",Japan,2018-07-20,"International TV Shows, TV Comedies, TV Dramas","In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar."
2911,80191000,TV Show,The Most Beautiful Hands of Delhi,20,7,2017,1,Season,TV-MA,,"Björn Kjellman, Joy Sengupta, Natasha Jayetileke",Sweden,2017-07-20,"International TV Shows, TV Comedies, TV Dramas","A stalled career, failed marriage and receding hairline drive a middle-aged Swedish man to try to revitalize his life by visiting India."
2912,70242629,TV Show,DreamWorks How to Train Your Dragon Legends,20,7,2012,1,Season,TV-PG,,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Christopher Mintz-Plasse, Jonah Hill, T.J. Miller, Kristen Wiig, Jim Cummings, Tress MacNeille",United States,2012-07-20,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","In this set of shorts, Hiccup and the gang learn about different species of dragons. Then, Gobber goes in search of the Boneknapper Dragon."
2913,80242137,TV Show,Bangkok Love Stories: Objects of Affection,2,7,2019,1,Season,TV-14,,"Apinya Sakuljaroensuk, Kanokchat Munyadon, Gyeon Seo, Nalin Hohler, Thongpoom Siripipat, Chinawut Indracusin, Preeyada Sitthachai, Akarin Akaranitimaytharatt, Adul Charoenrasameekiat, Kanlaya Lertkasemsup",Thailand,2019-07-02,"International TV Shows, Romantic TV Shows, TV Dramas",A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.
2914,80241590,TV Show,Bangkok Love Stories: Plead,2,7,2019,1,Season,TV-14,,"Chanon Santinatornkul, Sutatta Udomsilp, Morakot Liu, Varot Makaduangkeo, Sutthatip Wutichaipradit, Cholsawas Tiewwanichkul, Surapol Poonpiriya, Hattaya Wongkrachang",Thailand,2019-07-02,"International TV Shows, Romantic TV Shows, TV Dramas","In Bangkok's Chinatown, a spirited digital marketing expert falls for a blind fortune-teller, but their love is predestined to end in disaster."
2915,81072109,TV Show,Designated Survivor: 60 Days,2,7,2019,1,Season,TV-14,,"Ji Jin-hee, Lee Jun-hyuk, Heo Jun-ho, Kang Han-na, Bae Jong-ok, Kim Gyu-ri, Son Suk-ku, Choi Yoon-young, Lee Moo-saeng",South Korea,2019-07-02,"International TV Shows, Korean TV Shows, TV Dramas","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu-jin must find a way to lead Korea through the ensuing chaos."
2921,80186926,TV Show,​SAINT SEIYA: Knights of the Zodiac,19,7,2019,1,Season,TV-14,,"Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi",Japan,2019-07-19,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
2922,80996338,TV Show,Typewriter,19,7,2019,1,Season,TV-MA,,"Aarna Sharma, Aaryansh Malviya, Mikail Gandhi, Palash Kamble, Jishu Sengupta, Palomi Ghosh, Purab Kohli, Sameer Kochhar, Sara Gesawat",India,2019-07-19,"International TV Shows, TV Horror, TV Mysteries","Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways."
2931,81116487,TV Show,Rookie Historian Goo Hae-Ryung,18,7,2019,1,Season,TV-14,,"Shin Sae-kyeong, Cha Eun-woo, Park Ki-woong, Lee Ji-hoon, Park Ji-hyun, Gong Jung-hwan, Kim Min-sang, Choi Duk-mun, Kim Yeo-jin",South Korea,2019-07-18,"International TV Shows, Korean TV Shows, Romantic TV Shows",Free spirit Goo Hae-ryung embarks on a new life as a scholar in the Joseon royal court after hearing about a government post for women historians.
2934,80233223,TV Show,Camarón Revolution,18,7,2018,1,Season,TV-14,,"Camarón de la Isla, Juan Diego",Spain,2018-07-18,"Docuseries, International TV Shows, Spanish-Language TV Shows",The extraordinary life and career of flamenco legend Camarón de la Isla is covered in this sweeping biography series.
2938,80192842,TV Show,Ari Shaffir: Double Negative,18,7,2017,1,Season,TV-MA,Eric Abrams,Ari Shaffir,United States,2017-07-18,Stand-Up Comedy & Talk Shows,"Wry yet thoughtful, comedian Ari Shaffir brings his edgy humor to two fast-paced stand-up specials about children and adulthood."
