,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
3981,80204889,TV Show,Dating Around,14,2,2019,1,Season,TV-MA,,,,2019-02-14,"Reality TV, Romantic TV Shows","In each episode of flirtations and fails, one real-life single navigates five blind dates. The mission: Find one match worthy of a second date."
3986,80118913,TV Show,The Mortified Guide,14,2,2018,1,Season,TV-MA,,,United States,2018-02-14,Docuseries,"Brave people get onstage to read hilarious and humiliating tales of gawky teenage love, family dysfunction and other stories from their younger years."
3990,80150604,TV Show,White Nights,14,2,2017,1,Season,TV-14,,"Yo-Won Lee, Goo Jin, U-ie, Hae-in Jung, Gook-hwan Jeon, Han-yong Jeong",South Korea,2017-02-14,"International TV Shows, Korean TV Shows, TV Dramas","A coldhearted heiress, a man from her past and an ambitious new hire in her company all become entangled on a battleground for money and power."
4000,80057749,TV Show,Cyborg 009: Call of Justice,10,2,2017,1,Season,TV-14,,"Keisuke Koumoto, Risa Taneda, Misato Fukuen, Takuya Sato, Satoshi Hino, Kenji Nomura, Mitsuaki Madono, Setsuji Sato, Haruki Ishiya, Ryo Sugisaki, Yui Makino, Kazuhiko Inoue, Yuko Kaida",Japan,2017-02-10,"Anime Series, International TV Shows","Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity."
4004,80174429,TV Show,Metallica: Some Kind of Monster,10,2,2017,1,Season,TV-MA,"Joe Berlinger, Bruce Sinofsky","James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",United States,2017-02-10,TV Shows,"This collection includes the acclaimed rock documentary about Metallica, plus a film checking in with the still-thriving group 10 years later."
4007,80205595,TV Show,Always a Witch,1,2,2019,1,Season,TV-14,,"Angely Gaviria, Sebastián Eslava, Luis Fernando Hoyos, Verónica Orozco, Lenard Vanderaa, Sofía Araujo, Dylan Fuentes, Valeria Emiliani, Dubán Prado, Carlos Quintero",Colombia,2019-02-01,"International TV Shows, Spanish-Language TV Shows, TV Dramas","A young 17th-century witch time travels to the future to save the man she loves, but first must adjust to present-day Cartagena and defeat a dark rival."
4008,81063028,TV Show,Beast Legends,1,2,2019,1,Season,TV-PG,,"Steve Leonard, Francis Manapul, Kathryn Denning, Scott Edwards, Mike Paixao",Canada,2019-02-01,Docuseries,A diverse crew of experts dive deep into the origin stories of mythological monsters before building replicas of the creatures using 3D CGI technology.
4010,81063160,TV Show,Camp X,1,2,2019,1,Season,TV-MA,,,Canada,2019-02-01,Docuseries,"Established during World War II, North America's first secret agent training school – known as Camp X – paved the way for present-day espionage."
4016,81059603,TV Show,Harold Shipman - Driven to Kill,1,2,2019,1,Season,TV-14,,Harold Shipman,United Kingdom,2019-02-01,"British TV Shows, Crime TV Shows, Docuseries","Interviews and dramatic reconstructions illuminate the twisted motivations and brazen crimes of serial killer and respected physician, Harold Shipman."
4019,81059643,TV Show,Hunters of the South Seas,1,2,2019,1,Season,TV-14,,Will Millard,United Kingdom,2019-02-01,"British TV Shows, Docuseries","In a far corner of the Pacific Ocean, people who live entirely at sea share insights into their incredible amphibious lifestyle."
4021,81050118,TV Show,Lego Friends: Girls on a Mission,1,2,2019,1,Season,TV-Y,"Andrew Tan, Stephen Murray","Jasmine St. Clair, Allegra Clark, Rosamund Marks, Faye Mata, Kira Buckland, David Roach, Bradley Venable",Denmark,2019-02-01,Kids' TV,"Five best friends put their teamwork, wits and courage to the test when they take on a mission to protect Heartlake City from bad people."
4025,80997225,TV Show,Lo que la verdad esconde: El caso Asunta (Operacion Nenúfar),1,2,2019,1,Season,TV-14,,,Spain,2019-02-01,"Crime TV Shows, Docuseries, International TV Shows","This true crime series investigates newfound evidence and unanswered questions in famous criminal cases, such as the murder of Asunta Basterra Porto."
4027,81059663,TV Show,My Tattoo Addiction,1,2,2019,1,Season,TV-MA,,Julian Barratt,United Kingdom,2019-02-01,"British TV Shows, Docuseries",Ink junkies dig skin deep and share personal stories about their collection of body art.
4029,81063091,TV Show,Operation Gold Rush,1,2,2019,1,Season,TV-14,,"Dan Snow, Felicity Ashton, Kevin Fong, Alisdair Simpson",United Kingdom,2019-02-01,"British TV Shows, Reality TV",A team of modern-day adventurers follows the footsteps of the money-hungry explorers who trekked the Klondike in search of Canadian gold.
4031,80211627,TV Show,Russian Doll,1,2,2019,1,Season,TV-MA,,"Natasha Lyonne, Charlie Barnett, Yul Vazquez, Elizabeth Ashley, Dascha Polanco, Jeremy Bobb, Greta Lee, Rebecca Henderson, Brendan Sexton III, Chloë Sevigny, Brooke Timber",United States,2019-02-01,"TV Comedies, TV Dramas",Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop – and staring down the barrel of her own mortality.
4032,81041414,TV Show,Sparta,1,2,2019,1,Season,TV-MA,,"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Russia,2019-02-01,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game."
4033,80990612,TV Show,Sword Art Online Alternative: Gun Gale Online,1,2,2019,1,Season,TV-14,,"Tomori Kusunoki, Yoko Hikasa, Kazuyuki Okitsu, Chinatsu Akasaki",Japan,2019-02-01,"Anime Series, International TV Shows",College student Karen takes up Gun Gale Online and gets a reputation as the Pink Demon. Then her gaming buddy Pitohui asks her to join the Squad Jam.
4034,81059684,TV Show,The Bible's Buried Secrets,1,2,2019,1,Season,TV-14,,Francesca Stavrakopoulou,United Kingdom,2019-02-01,"British TV Shows, Docuseries, Science & Nature TV","Host Francesca Stavrakopoulou travels across the Middle East, offering extraordinary insights into the stories of the Old Testament."
4035,81059816,TV Show,The Big Catch,1,2,2019,1,Season,TV-PG,,Ben Fogle,United Kingdom,2019-02-01,"British TV Shows, Reality TV","In a global competition, eight fishing enthusiasts battle extreme conditions and dangerous waters to be crowned the ultimate angler."
4036,81063049,TV Show,The Bomb Squad,1,2,2019,1,Season,TV-MA,,Christopher Eccleston,United Kingdom,2019-02-01,"British TV Shows, Docuseries",This documentary follows British bomb disposal teams in Afghanistan and the dangers they face in their methodical lives on the front lines of war.
4038,80992963,TV Show,The Story of Us with Morgan Freeman,1,2,2019,1,Season,TV-14,,Morgan Freeman,United States,2019-02-01,Docuseries,"Explore the forces of love, belief, power, war, peace, rebellion and freedom in this series about the ties that bind – and destroy – humanity."
4045,81059856,TV Show,World's Busiest Cities,1,2,2019,1,Season,TV-PG,,"Anita Rani, Ade Adepitan, Dan Snow",United Kingdom,2019-02-01,"British TV Shows, Docuseries","From Moscow to Mexico City, three BBC journalists delve into the inner workings of some of the most burgeoning metropolises on Earth."
4056,80078037,TV Show,Little Lunch,1,2,2018,1,Season,,,"Flynn Curry, Olivia Deeble, Madison Lu, Oisín O'Leary, Faith Seci, Joshua Sitch, Heidi Arena",Australia,2018-02-01,"Kids' TV, TV Comedies","Adopting a child's perspective, this show takes a humorous look at what happens during those action-packed 15 minutes of snack time each day."
4062,80234290,TV Show,Revolting Rhymes,1,2,2018,1,Season,TV-PG,"Jani Lachauer, Jakob Schuh","Rob Brydon, Bertie Carvel, Gemma Chan, Dominic West, Isaac Hempstead Wright, Bel Powley, Tamsin Greig, Rose Leslie, David Walliams",United Kingdom,2018-02-01,"British TV Shows, Kids' TV",Popular fairy tales take on a darkly comic edge in these short animated films based on a book by Roald Dahl and illustrator Quentin Blake.
4063,80063658,TV Show,The Code,1,2,2018,1,Season,TV-PG,,Marcus du Sautoy,United Kingdom,2018-02-01,"British TV Shows, Docuseries, International TV Shows","In this three-part documentary series, host Marcus du Sautoy examines the mathematical code underlying all of life on Earth and the universe itself."
4065,80005332,TV Show,Camelia la Texana,1,2,2017,1,Season,TV-14,Carlos Bolado,"Sara Maldonado, Erik Hayser, Andrés Palacios, Dagoberto Gama, Luis Ernesto Franco, Arcelia Ramírez, Eréndira Ibarra","Mexico, United States",2017-02-01,"Crime TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Inspired by the famous song ""Contrabando y Traición,"" Camelia, a beautiful girl from San Antonio, kills her lover and becomes a legendary drug runner."
4077,80157242,TV Show,Mexico Diseña,1,2,2017,1,Season,TV-PG,,,United States,2017-02-01,"International TV Shows, Reality TV, Spanish-Language TV Shows",Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.
4079,80161851,TV Show,Pioneers of African-American Cinema,1,2,2017,1,Season,TV-14,"Oscar Micheaux, Spencer Williams, Richard E. Norman, Richard Maurice",,United States,2017-02-01,TV Shows,This newly preserved collection features more than 20 films made by groundbreaking African American directors for black audiences from 1915 to 1946.
4083,80093829,TV Show,Masha's Tales,1,2,2016,1,Season,TV-Y,,,,2016-02-01,Kids' TV,"Fairy tales get a funny twist when Masha retells them, because she tends to get the details just a little jumbled up in this animated kids' series."
4084,80042371,TV Show,The Lizzie Borden Chronicles,1,2,2016,1,Season,TV-14,,"Christina Ricci, Clea DuVall, Cole Hauser, Dylan Taylor, John Ralston, Bradley Stryker, Olivia Llewellyn, Jeff Wincott, Jessy Schram, Martha Irving, Gabrielle Trudel",United States,2016-02-01,"Crime TV Shows, TV Dramas, TV Thrillers","Exonerated in the murder of her father and stepmother, Lizzie Borden takes on crime lords, detectives and other foes as she savors her new infamy."
4088,80065491,TV Show,Captive,9,12,2016,1,Season,TV-MA,,,United Kingdom,2016-12-09,"Crime TV Shows, Docuseries","This documentary series reconstructs history's most complex, high-stakes hostage negotiations as kidnapping victims recount their terrifying ordeals."
4089,80149141,TV Show,Four Seasons in Havana,9,12,2016,1,Season,TV-MA,,"Jorge Perugorría, Carlos Enrique Almirante, Mario Guerra, Luis Alberto García, Juana Acosta, Laura Ramos","Spain, Cuba",2016-12-09,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","As Havana slowly revolves through the year, wistful detective Mario Conde probes the sultry heart of the city to investigate dark and deadly crimes."
4092,80091245,TV Show,White Rabbit Project,9,12,2016,1,Season,TV-PG,,"Tory Belleci, Kari Byron, Grant Imahara",United States,2016-12-09,"Docuseries, International TV Shows, Reality TV","Kari Byron, Tory Belleci and Grant Imahara rank history's greatest inventions, heists and more in this series from the producers of ""MythBusters."""
4113,80158044,TV Show,Miss in Kiss,8,12,2016,1,Season,TV-14,,"Esther Wu, Dino Lee, Gong Yi Teng, Xi Wei Lun, Honduras, Vega Tsai, Shen Chang Hung",Taiwan,2016-12-08,"International TV Shows, Romantic TV Shows, TV Comedies","A quirk of fate sends an ordinary, sweet-natured high school girl and her father into the home of the school genius, on whom she has a huge crush."
4115,80109535,TV Show,The Cuba Libre Story,8,12,2016,1,Season,TV-14,,,"France, Germany",2016-12-08,"Docuseries, International TV Shows","This documentary series recounts the tumultuous history of Cuba, a nation of foreign conquest, freedom fighters and Cold War political machinations."
4119,80189522,TV Show,Dogs of Berlin,7,12,2018,1,Season,TV-MA,,"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler",Germany,2018-12-07,"Crime TV Shows, International TV Shows, TV Dramas","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy."
4123,80195198,TV Show,Pine Gap,7,12,2018,1,Season,TV-MA,Mat King,"Parker Sawyers, Jacqueline McKenzie, Steve Toussaint, Tess Haubrich, Stephen Curry, Lewis Fitz-Gerald, Mark Leonard Winter",Australia,2018-12-07,"International TV Shows, TV Dramas","At top-secret U.S.-Australian joint defense facility Pine Gap, fissures appear in the critical alliance as spies work with, and against, each other."
4128,81087498,TV Show,Astronomy Club: The Sketch Show,6,12,2019,1,Season,TV-MA,,"Shawtane Bowen, Jonathan Braylock, Ray Cordova, Caroline Martin, Jerah Milligan, Monique Moses, Keisha Zollar, James III",United States,2019-12-06,TV Comedies,"With unique individual perspectives that converge into a unified voice, sketch comedy group Astronomy Club delivers a smart and absurd brand of humor."
4131,81075536,TV Show,Glow Up,6,12,2019,1,Season,TV-14,,,United Kingdom,2019-12-06,"British TV Shows, International TV Shows, Reality TV","In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry."
4136,80228274,TV Show,Teasing Master Takagi-san,6,12,2019,1,Season,TV-PG,,"Rie Takahashi, Yuki Kaji, Konomi Kohara, M・A・O, Yui Ogura, Yuma Uchida, Kotori Koiwai, Nobuhiko Okamoto, Fukushi Ochiai",Japan,2019-12-06,"Anime Series, International TV Shows, Romantic TV Shows","Teased constantly by classmate Takagi-san, middle-schooler Nishikata swears payback by trying (and failing) to give her a dose of her own medicine."
4137,80213588,TV Show,The Confession Killer,6,12,2019,1,Season,TV-14,"Robert Kenner, Taki Oldham",,United States,2019-12-06,"Crime TV Shows, Docuseries",Henry Lee Lucas rose to infamy when he confessed to hundreds of unsolved murders. This docuseries examines the truth – and horrifying consequences.
4139,80987516,TV Show,Three Days of Christmas,6,12,2019,1,Season,TV-MA,,"Victoria Abril, Elena Anaya, Mar Ayala, Nerea Barros, Berta Castañé, Verónica Echegui, Verónica Forqué, Ángela Molina, Anna Moliner, Charo López, Mariona Pagès, Carla Tous, Carles Arquimbau, Manel Barceló, Nausicaa Bonnín, Alicia Borrachero, Antonio Dechent, Miquel Fernández, Francesc Garrido, Iván Morales, Susi Sánchez, David Solans",Spain,2019-12-06,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Four sisters deal with family drama and secrets throughout three different time periods, all occurring on Christmas Day."
4140,81019391,TV Show,Triad Princess,6,12,2019,1,Season,TV-MA,,"Eugenie Liu, Jasper Liu, Cecilia Choi, Tien Hsin, Michael JQ Huang, Chang Zhang-xing, Hung Yan-siang, Tsao Yu-ning, Chang Shu-wei, Lee Lee-zen",,2019-12-06,"Crime TV Shows, International TV Shows, Romantic TV Shows","After jostling her way into a gig as a celebrity bodyguard, the boisterous daughter of a powerful triad boss shakes up a TV star's life and finds love."
4141,80240027,TV Show,Virgin River,6,12,2019,1,Season,TV-14,,"Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley",United States,2019-12-06,"Romantic TV Shows, TV Dramas","Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds."
4144,80177346,TV Show,Happy!,6,12,2018,1,Season,TV-MA,,"Christopher Meloni, Lili Mirojnick, Glenn Wein, Patrick Fischler, Toby Jaffe, Ritchie Coster, Grant Morrison, Pavun Shetty, Medina Senghore, Patton Oswalt",United States,2018-12-06,"Crime TV Shows, TV Action & Adventure, TV Comedies",A boozy ex-cop turned hit man thinks he's losing his marbles when a cartoon unicorn only he can see urges him to rescue a girl kidnapped by Santa.
4152,81083590,TV Show,Home for Christmas,5,12,2019,1,Season,TV-MA,,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen",Norway,2019-12-05,"International TV Shows, Romantic TV Shows, TV Comedies","Tired of the constant comments on her relationship status, perpetually single Johanne starts a 24-day hunt for a boyfriend to bring home for Christmas."
4154,80236118,TV Show,V Wars,5,12,2019,1,Season,TV-MA,,"Ian Somerhalder, Adrian Holmes, Jacky Lai, Kyle Breitkopf, Peter Outerbridge, Kimberly-Sue Murray, Sydney Meyer, Kandyse McClure, Laura Vandervoort, Michael Greyeyes, Greg Bryk, Teddy Moynihan, Ted Atherton, Jonathan Higgins, Nikki Reed, Samantha Liana Cole, Laura de Carteret, Bo Martyn",Canada,2019-12-05,"TV Action & Adventure, TV Dramas, TV Horror",A fast-spreading disease that turns victims into blood-sucking fiends pits two best friends against each other in a fight for humanity's future.
4156,80211229,TV Show,Cleo & Cuquin,5,12,2018,1,Season,TV-Y,Fernando Moro,,Spain,2018-12-05,Kids' TV,Spirited sister-brother duo Cleo and Cuquín try on different professions each day to help their other siblings solve problems and enjoy new adventures.
4157,80204730,TV Show,The Last O.G.,5,12,2018,1,Season,TV-MA,,"Tracy Morgan, Tiffany Haddish, Cedric the Entertainer, Allen Maldonado, Ryan Gaul, Taylor Mosby, Dante Hoagland, Joel Marsh Garland, Gino Vento, Derek Gaines, Daniel J. Watts, Malik Yoba, Edi Patterson",United States,2018-12-05,TV Comedies,"After 15 years behind bars, a kindhearted ex-drug dealer returns to Brooklyn looking for a fresh start, only to discover things have changed. A lot."
4162,81135440,TV Show,The Prince of Tennis ~ Match! Tennis Juniors ~,4,12,2019,1,Season,TV-PG,,"Peng Yuchang, Dong Li, Zhang Yijie, Xie Binbin, Zhu Zhiling, Xu Ke, Wu Xudong, Li He, Fan Linfeng",China,2019-12-04,"International TV Shows, TV Dramas, Teen TV Shows",A tennis whiz beats the odds to excel on the court while juggling school and inspiring teammates. Based on the hit manga series by Takeshi Konomi.
4163,81055408,TV Show,The Road to Love,4,12,2019,1,Season,TV-14,,"Katherine Escobar Farfan, Juan Manuel Restrepo, César Mora, Mario Espitia, Carmenza González, José Daniel Cristancho, Felipe Bernedette, Camilo Amores, Linda Lucía Callejas, Fernando Solórzano, María Laura Quintero, Toto Vega, Mayra Luna, Ana María Cuéllar, María Fernanda Matus",,2019-12-04,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","After an argument with her dad, a young woman from a family of macho truck drivers is kicked out of the home and must make her own success as a trucker."
4177,81219073,TV Show,ARASHI's Diary -Voyage-,31,12,2019,1,Season,TV-PG,,Arashi,,2019-12-31,"Docuseries, International TV Shows","Twenty years after their debut, join the beloved members of Arashi on a new journey as they showcase their lives, talents and gifts to the world."
4218,81224811,TV Show,Pucca: Love Recipe,31,12,2019,1,Season,TV-Y7,,"Jeonghwa Yang, Yongwoo Shin, Doug Erholtz, Melissa Fahn, Karen Strassman, Kirk Thornton, Spike Spencer",,2019-12-31,"Kids' TV, Korean TV Shows","Faced with a threat to the survival of her family restaurant, as well as a rival for Garu's heart, Pucca fights for all that she loves."
4219,81224839,TV Show,Rainbow Ruby,31,12,2019,1,Season,TV-Y,,"Alyssya Swales, Shannon Chan-Kent, Brian Drummond, Olivia Charles, Kate Higgins, Johnny Yong Bosch","South Korea, Canada, United States, China",2019-12-31,Kids' TV,"Ruby makes magical journeys with her teddy bear Choco to Rainbow Village, where her toys come to life – and where there's always a problem to solve!"
4233,80990609,TV Show,The Neighbor,31,12,2019,1,Season,TV-MA,,"Quim Gutiérrez, Clara Lago, Adrián Pino, Catelina Sopelana",Spain,2019-12-31,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
4241,81203251,TV Show,Yanxi Palace: Princess Adventures,31,12,2019,1,Season,TV-14,,"Wang Herun, Wang Yizhe, Wang Yuwei, Xu Xiaonuo, Wu Jinyan, Nie Yuan",,2019-12-31,"International TV Shows, TV Dramas",A determined Qing dynasty princess contends with palace intrigue and a vendetta against her family while navigating the treacherous terrain of romance.
4248,81020868,TV Show,Conan Without Borders,31,12,2018,1,Season,TV-14,,,United States,2018-12-31,"Docuseries, TV Comedies",Late-night talk show host Conan O'Brien hits the road in this special that brings him and his sense of humor to far-flung destinations.
4249,81029634,TV Show,For the Win,31,12,2018,1,Season,TV-14,,Brodie Smith,,2018-12-31,Reality TV,Frisbee national champion Brodie Smith challenges inventive athletes across the US to an exhibition match in the unconventional sports they've created.
4252,81032812,TV Show,Inst@famous,31,12,2018,1,Season,TV-MA,,,United Kingdom,2018-12-31,Reality TV,Self-made social media celebrities share the stories of how they built their online empires and where they plan to take their unexpected fame next.
4259,81029647,TV Show,Slobby's World,31,12,2018,1,Season,TV-MA,,Robert Hall,United States,2018-12-31,Reality TV,Welcome to the irreverent world of Robert Hall – aka Slobby Robby – a pop culture junkie who buys and sells collectable goods from the '80s and '90s.
4269,80198350,TV Show,Bat Pat,31,12,2017,1,Season,TV-Y,,"Rosa Romay, Alberto Escobal, Jaime de Diego, Josu Cubero",Italy,2017-12-31,Kids' TV,"A curious and talkative bat finds spooky fun on the streets of Fogville, a town that's not as quiet as it seems, with a plucky girl and her brothers."
4272,80230402,TV Show,Dave Chappelle: Equanimity & The Bird Revelation,31,12,2017,1,Season,TV-MA,Stan Lathan,Dave Chappelle,United States,2017-12-31,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy titan Dave Chappelle caps a wild year with two stand-up specials packed with scorching new material, self-reflection and tough love."
4273,70205634,TV Show,El Chavo,31,12,2017,1,Season,TV-PG,,"Roberto Gómez Bolaños, María Antonieta de las Nieves, Carlos Villagrán, Florinda Meza García, Angelines Fernández Abad, Rubén Aguirre Fuentes, Edgar Vivar, Ramón Gómez Valdez de Castillo",Mexico,2017-12-31,"Classic & Cult TV, Kids' TV, Spanish-Language TV Shows","El Chavo is a poor, nameless orphan who lives in an apartment building with La Chilindrina, Quico, Doña Florinda, Don Ramón and Professor Jirafales."
4277,80221778,TV Show,Geronimo Stilton,31,12,2017,1,Season,TV-Y,Guy Vasilovich,"Brian Drummond, Erin Mathews, Richard Ian Cox, Sarah Edmondson, Moneca Stori","Italy, Canada, France",2017-12-31,"Kids' TV, TV Comedies","With the help of brainy and adventurous sidekicks, New Mouse City's favorite journalist investigates mysteries that take him around the world,"
4279,80029102,TV Show,Lo que la vida me robó,31,12,2017,1,Season,TV-14,,"Angelique Boyer, Sebastián Rulli, Luis Roberto Guzmán, Osvaldo Benavides, Daniela Castro, Ana Bertha Espín, Gabriela Rivero, Alejandro Ávila, Alejandra García, Carlos de la Mota, Sergio Sendel, Ferdinando Valencia, Grettell Valdez, Verónica Jaspeado, Margarita Magaña, Alexis Ayala, Alejandra Procuna, Juan Carlos Barreto",Mexico,2017-12-31,"Crime TV Shows, International TV Shows, Romantic TV Shows","In seaside Aguazul, beautiful Montserrat and her wily mother tangle with lovers, gangsters, financial ruin, obsession – and murder."
4281,70205710,TV Show,Rebelde,31,12,2017,1,Season,TV-14,,"Anahí, Dulce María, Alfonso Herrera, Christopher Von Uckermann, Maite Perroni, Christian Chávez, Juan Ferrara, Ninel Conde, Leticia Perdigón, Enrique Rocha",Mexico,2017-12-31,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Six students at an exclusive prep school, some on scholarship, discover that music can close the class divide."
4282,70205714,TV Show,Rubi,31,12,2017,1,Season,TV-PG,,"Bárbara Mori, Eduardo Santamarina, Sebastián Rulli, Jacqueline Bracamontes, Ana Martín, Yadhira Carrillo, Miguel Pizarro, Manuel Landeta, Antonio Medellin, Ana Bertha Espín, José Elías Moreno, Olivia Bucio",Mexico,2017-12-31,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Ruby, jealous of her wealthy best friend Maribel, cooks up a scheme to marry a millionaire. Hector, Maribel's boyfriend, is her target."
4283,70236010,TV Show,Teresa,31,12,2017,1,Season,TV-PG,,"Angelique Boyer, Sebastián Rulli, Aarón Díaz, Cynthia Klitbo, Ana Brenda Contreras, Daniel Arenas, Margarita Magaña, Manuel Landeta, Felicia Mercado, Silvia Mariscal",Mexico,2017-12-31,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","We all want so much more than we have, but how far are we willing to go to get it?"
4288,80024132,TV Show,Battle Creek,31,12,2015,1,Season,TV-14,,"Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr., Kal Penn, Janet McTeer, Liza Lapira, Damon Herriman, Meredith Eaton",United States,2015-12-31,"Crime TV Shows, TV Comedies, TV Dramas","A polished FBI agent must team up with a cynical cop when he's dispatched to Battle Creek, Michigan, to set up an office at the local precinct."
4289,81054849,TV Show,The Disastrous Life of Saiki K.: Reawakened,30,12,2019,1,Season,TV-14,,"Hiroshi Kamiya, Daisuke Ono, Nobunaga Shimazaki, Satoshi Hino, Natsuki Hanae, Ai Kayano, Yukari Tamura, Maaya Uchida, Yoshimasa Hosoya, Masaya Matsukaze, Tomoaki Maeno, Kenji Nojima, Mitsuo Iwata, Rikako Aikawa, Yuki Kaji, Eri Kitamura, M・A・O, Kensho Ono, Kohsuke Toriumi, Nao Toyama",,2019-12-30,"Anime Series, International TV Shows","Kusuo and his gaggle of self-proclaimed friends are back for more psychic mishaps. If he didn't have enough problems before, he's got even more now."
4292,81030762,TV Show,Pioneers: First Women Filmmakers*,30,12,2018,1,Season,TV-PG,,,,2018-12-30,TV Shows,"This collection restores films from women who tackled hot-button issues, transcended norms, and left a mark on the history of cinema and the industry."
4295,80154689,TV Show,My Runway,30,12,2016,1,Season,TV-14,,"Ji-yeon Park, Dong-ho Kang, Chul-woong Kang, Bo-hyun Ahn, Hak Jin, Se-jin Park, Kisum",South Korea,2016-12-30,"International TV Shows, Korean TV Shows, Romantic TV Shows",An egotistic top male model and a pretty model wannabe are forced to live each other's lives until they figure out a way to undo their body switch.
4300,80990571,TV Show,Blue Planet II,3,12,2018,1,Season,TV-G,,David Attenborough,United Kingdom,2018-12-03,"British TV Shows, Docuseries, Science & Nature TV","This sequel to the award-winning nature series ""Blue Planet"" dives beneath Earth's oceans to reveal the dazzling vistas and amazing creatures there."
4305,81036061,TV Show,In Family We Trust,29,12,2018,1,Season,TV-MA,,"Songsit Roongnophakunsri, Saksit Tangtong, Kathaleeya McIntosh, Sopitnapa Choompanee, Apasiri Nitibhon, Phollawat Manuprasert, Nappon Gomarachun, Patravadi Mejudhon, Kejmanee Wattanasin, Supoj Chancharoen, Pimmara Charoenpakdee, Thanapob Leeratanakajorn, Kritsanapoom Pibulsonggram, Teeradon Supapunpinyo, Kongyingyong Chonlathorn, Lapat Ngamchaweng, Sivakorn Adulsuttikul, Paris Intarakomalyasut, Jackrin Kungwankiatichai, Vachirawich Aranthanawong, Sawanya Paisarnpayak, Kanyawee Songmuang, Pitisak Yaowananon, Chavalit Chittanant, Thaneth Warakulnukroh",Thailand,2018-12-29,"Crime TV Shows, International TV Shows, TV Dramas","When the head of the lucrative family business passes away, his will leaves the clan at extreme odds."
4306,80208337,TV Show,La Mante,29,12,2017,1,Season,TV-MA,,"Carole Bouquet, Fred Testot, Pascal Demolon, Manon Azem, Frédérique Bel, Élodie Navarre, Jacques Weber",France,2017-12-29,"Crime TV Shows, International TV Shows, TV Dramas","Decades after her capture, a serial killer offers to help solve a string of copycat murders – but only if her son, now a cop, will work by her side."
4309,80192950,TV Show,The Real Football Factories,29,12,2017,1,Season,TV-MA,,Danny Dyer,United Kingdom,2017-12-29,"British TV Shows, Docuseries, International TV Shows",Examine the troubling history of football hooliganism and hear from real hooligans about their bitter rivalries and rowdiest brawls.
4310,80163430,TV Show,Wadi,29,12,2017,1,Season,TV-14,,"Syafie Naswip, Ardell Aryana, Naim Daniel, Shafieq Shazwan, Fimie Don, Afieq Syazwan, Amyza Aznan, Azhan Rani, Ahmad Iswazir",,2017-12-29,"International TV Shows, TV Dramas","After the death of his father, a passive and good-natured teenager named Wadi struggles with family, work and love."
4316,80240277,TV Show,Hashoter Hatov,28,12,2018,1,Season,TV-MA,,"Moshe Ivgy, Guy Loel, Yuval Semo, Yigal Adika, Avi Shnaidman, Vered Feldman, Liora Rivlin",Israel,2018-12-28,"Crime TV Shows, International TV Shows, TV Comedies",An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.
4318,80217475,TV Show,Murder Mountain,28,12,2018,1,Season,TV-MA,,,United States,2018-12-28,"Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again."
